,essay_id,essay_set,essay,final_score,clean_essay,char_count,word_count,sent_count,avg_word_len,spell_err_count
0,1,1,"Dear local newspaper, I think effects computers have on people are great learning skills/affects because they give us time to chat with friends/new people, helps us learn about the globe(astronomy) and keeps us out of troble! Thing about! Dont you think so? How would you feel if your teenager is always on the phone with friends! Do you ever time to chat with your friends or buisness partner about things. Well now - there's a new way to chat the computer, theirs plenty of sites on the internet to do so: facebook, myspace ect. Just think now while your setting up meeting with your boss on the computer, your teenager is having fun on the phone not rushing to get off cause you want to use it. How did you learn about other countrys/states outside of yours? Well I have by computer/internet, it's a new way to learn about what going on in our time! You might think your child spends a lot of time on the computer, but ask them so question about the economy, sea floor spreading or even about the you'll be surprise at how much he/she knows. Believe it or not the computer is much interesting then in class all day reading out of books. If your child is home on your computer or at a local library, it's better than being out with friends being fresh, or being perpressured to doing something they know isnt right. You might not know where your child is, forbidde in a hospital bed because of a drive-by. Rather than your child on the computer learning, chatting or just playing games, safe and sound in your home or community place. Now I hope you have reached a point to understand and agree with me, because computers can have great effects on you or child because it gives us time to chat with friends/new people, helps us learn about the globe and believe or not keeps us out of troble. Thank you for listening.",6,Dear local newspaper  I think effects computers people great learning skillsaffects give us time chat friendsnew people  helps us learn globe  astronomy  keeps us troble  Thing  Dont think  How would feel teenager always phone friends  Do ever time chat friends buisness partner things  Well  s new way chat computer  plenty sites internet  facebook  myspace ect  Just think setting meeting boss computer  teenager fun phone rushing get cause want use  How learn countrysstates outside  Well I computerinternet  s new way learn going time  You might think child spends lot time computer  ask question economy  sea floor spreading even ll surprise much heshe knows  Believe computer much interesting class day reading books  If child home computer local library  s better friends fresh  perpressured something know isnt right  You might know child  forbidde hospital bed driveby  Rather child computer learning  chatting playing games  safe sound home community place  Now I hope reached point understand agree  computers great effects child gives us time chat friendsnew people  helps us learn globe believe keeps us troble  Thank listening ,1441,344,16,4.188953488372093,279
1,2,1,"Dear I believe that using computers will benefit us in many ways like talking and becoming friends will others through websites like facebook and mysace. Using computers can help us find coordibates, locations, and able ourselfs to millions of information. Also computers will benefit us by helping with jobs as in planning a house plan and typing a page report for one of our jobs in less than writing it. Now lets go into the wonder world of technology. Using a computer will help us in life by talking or making friends on line. Many people have myspace, facebooks, aim, these all benefit us by having conversations with one another. Many people believe computers are bad but how can you make friends if you can never talk to them? I am very fortunate for having a computer that can help with not only school work but my social life and how I make friends. Computers help us with finding our locations, coordibates and millions of information online. If we didn't go on the internet a lot we wouldn't know how to go onto websites that help us with locations and coordinates like Would you rather use a computer or be in When your supposed to be vacationing in Million of information is found on the internet. You can as almost every question and a computer will have it. Would you rather easily draw up a house plan on the computers or take hours doing one by hand with ugly erazer marks all over it, you are garrenteed that to find a job with a drawing like that. Also when appling for a job many workers must write very long papers like a word essay on why this job fits you the most, and many people I know don't like writing words non-stopp for hours when it could take them I hav an a computer. That is why computers we needed a lot now adays. I hope this essay has impacted your descion on computers because they are great machines to work with. The other day I showed my mom how to use a computer and she said it was the greatest invention sense sliced bread! Now go out and buy a computer to help you chat online with friends, find locations and millions of information on one click of the button and help your self with getting a job with neat, prepared, printed work that your boss will love.",7,Dear I believe using computers benefit us many ways like talking becoming friends others websites like facebook mysace  Using computers help us find coordibates  locations  able ourselfs millions information  Also computers benefit us helping jobs planning house plan typing page report one jobs less writing  Now lets go wonder world technology  Using computer help us life talking making friends line  Many people myspace  facebooks  aim  benefit us conversations one another  Many people believe computers bad make friends never talk  I fortunate computer help school work social life I make friends  Computers help us finding locations  coordibates millions information online  If nt go internet lot would nt know go onto websites help us locations coordinates like Would rather use computer When supposed vacationing Million information found internet  You almost every question computer  Would rather easily draw house plan computers take hours one hand ugly erazer marks  garrenteed find job drawing like  Also appling job many workers must write long papers like word essay job fits  many people I know nt like writing words nonstopp hours could take I hav computer  That computers needed lot adays  I hope essay impacted descion computers great machines work  The day I showed mom use computer said greatest invention sense sliced bread  Now go buy computer help chat online friends  find locations millions information one click button help self getting job neat  prepared  printed work boss love ,1765,413,17,4.27360774818402,338
2,3,1,"Dear, More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. Others have different ideas. A great amount in the world today are using computers, some for work and spme for the fun of it. Computers is one of mans greatest accomplishments. Computers are helpful in so many ways, news, and live streams. Don't get me wrong way to much people spend time on the computer and they should be out interacting with others but who are we to tell them what to do. When I grow up I want to be a author or a journalist and I know for a fact that both of those jobs involve lots of time on time on the computer, one spend more time then the other but you know exactly what getting at. So what if some expert think people are spending to much time on the computer and not exercising, enjoying natures and interacting with family and friends. For all the expert knows that its how must people make a living and we don't know why people choose to use the computer for a great amount of time and to be honest it's non of my concern and it shouldn't be the so called experts concern. People interact a thousand times a day on the computers. Computers keep lots of kids of the streets instead of being out and causing trouble. Computers helps the locate most wanted criminals. As you can see computers are more useful to society then you think, computers benefit society.",5,Dear  More people use computers  everyone agrees benefits society  Those support advances technology believe computers positive effect people  Others different ideas  A great amount world today using computers  work spme fun  Computers one mans greatest accomplishments  Computers helpful many ways  news  live streams  Do nt get wrong way much people spend time computer interacting others tell  When I grow I want author journalist I know fact jobs involve lots time time computer  one spend time know exactly getting  So expert think people spending much time computer exercising  enjoying natures interacting family friends  For expert knows must people make living nt know people choose use computer great amount time honest s non concern nt called experts concern  People interact thousand times day computers  Computers keep lots kids streets instead causing trouble  Computers helps locate wanted criminals  As see computers useful society think  computers benefit society ,1185,276,14,4.293478260869565,217
3,4,1,"Dear Local Newspaper, I have found that many experts say that computers do not benifit our society. In some cases this is true but in most cases studdies show that computers can help people. While nothing beats talking in person computers can get really close such examples are webcams or e-mail. of students who get good grades refer to reliable websites for reasearch or to help find good books. Also online catalouges or advertisments help the economy of stores worldwide. people were not allowed to use computers most of the modern would not exist. said that the best form of modern communication is the computer because of the ability to write, talk, or write back for much cheaper! Almost every single event i go to is planed on a computer by communication such as e-mail ""@CAPS2 a student ever needs homework because lam out sick or needs help studying for a test then contact their teacher through the best form of communication for them always e-mail. Even the post office uses computers to get letters and boxes to people. The president of the post office, said ""@CAPS3 would be imposible to get mail to our coustmers were not for computers telling us where a zip code is or how heavy a box is."" that tell people what is happening around the world would not exist were not for the moder communication abilities that computer provid us. Because information can be commucated so quick. so can reasearch. When the country of took a pole of people used computer for any type of reasearch, of those were students currently in school and of them have good grades. When the same survey was taken in the of people used computers fore reasons and were students who had good grade were not posible for me to access documents in the online I probably would not have gotten an A+ on my assignment! Could you amagine suddenly your Newspaper reporters couldn't use the internet to work on their reports? The articles would probably be after the events occur. Most buissness, including the Newspaper, use the internet to advertise, shop, or read. The association of reported that in of used a website and of them were in good positions. The president of imports said that they use an online catalouge because is cheaper, but they can also promote that is to save trees, or for the castomer's convinence. Small can make websites to promote them selves and explain their star to potential coustomers. the owner of said that the internet saved her resturant. wer not for the internet more people would be jobless in In conclusion computer help everyday people and without them most convinences would not exist. They help communicate around the world. Computers help people reaserch subjects for school reports, and they make the current economy get better everyday. In moderation computers are the most useful tool out there.",8,Dear Local Newspaper  I found many experts say computers benifit society  In cases true cases studdies show computers help people  While nothing beats talking person computers get really close examples webcams email  students get good grades refer reliable websites reasearch help find good books  Also online catalouges advertisments help economy stores worldwide  people allowed use computers modern would exist  said best form modern communication computer ability write  talk  write back much cheaper  Almost every single event go planed computer communication email   CAPS student ever needs homework lam sick needs help studying test contact teacher best form communication always email  Even post office uses computers get letters boxes people  The president post office  said   CAPS would imposible get mail coustmers computers telling us zip code heavy box   tell people happening around world would exist moder communication abilities computer provid us  Because information commucated quick  reasearch  When country took pole people used computer type reasearch  students currently school good grades  When survey taken people used computers fore reasons students good grade posible access documents online I probably would gotten A assignment  Could amagine suddenly Newspaper reporters could nt use internet work reports  The articles would probably events occur  Most buissness  including Newspaper  use internet advertise  shop  read  The association reported used website good positions  The president imports said use online catalouge cheaper  also promote save trees  castomer s convinence  Small make websites promote selves explain star potential coustomers  owner said internet saved resturant  wer internet people would jobless In conclusion computer help everyday people without convinences would exist  They help communicate around world  Computers help people reaserch subjects school reports  make current economy get better everyday  In moderation computers useful tool ,2284,490,26,4.661224489795918,414
4,5,1,"Dear I know having computers has a positive effect on people. The computers connect families, contain information which is great for peoples education, and are very conveint. Computors are a step into the future and we should take advantage of it. First off the internet or e-mail will help family members connect. My family, which lives hours away by car, love to talk with me by e-mail. This helps me connect with my family and is just another reason why we should have computors. Another reason that includes family is when the family is just sitting around and are calling everywhere just to find a board game, it would just be easier to go online to find it. This way it would be quick and easy to find that one board game. The last reason why a computer would help a family is if a family wants to get in to any kinds of activities and they need the number they could just go online. On the internet the family could find the numbers, the and some information about it. This way more and more families can do activities together. As one can see the computer is bringing more and more families together. An other reason why the computers are good for society is educations. With information at the tip of your fingers more and more people will want to learn. Now a days people try to find the out, but will all the tools on the computers mae people get the education. Secondly computers are another way to go to collage. If you arn't up to going to school/collage because your sick. You wouldn't have to miss anything because with a click of a button you will have the materials needed for what was missed. Lastly everyone knows that in most classrooms can't afford one computer. The children want computors so hard. If they were to get one it would change so much. They would be able to learn so much more than before. The children could lean about different countries far away. As a result computers would improve the way we learn. The last reason why computers are so helpful is convience. Now a say the world is crazy, so if we don't have to go out or talk to someone we won't. The computer will offer the ability to confrence will other people so that there would be communication between work parttners. With the ability to talk with another for work would make us a lighter nation. This is only one of the many reasons computers are very conviente, subssiquently computers are conviente because you could book flights, vacations, rentals, and much more. With a click of a button you should be going to or a nice vacation.",6,Dear I know computers positive effect people  The computers connect families  contain information great peoples education  conveint  Computors step future take advantage  First internet email help family members connect  My family  lives hours away car  love talk email  This helps connect family another reason computors  Another reason includes family family sitting around calling everywhere find board game  would easier go online find  This way would quick easy find one board game  The last reason computer would help family family wants get kinds activities need number could go online  On internet family could find numbers  information  This way families activities together  As one see computer bringing families together  An reason computers good society educations  With information tip fingers people want learn  Now days people try find  tools computers mae people get education  Secondly computers another way go collage  If ar nt going schoolcollage sick  You would nt miss anything click button materials needed missed  Lastly everyone knows classrooms ca nt afford one computer  The children want computors hard  If get one would change much  They would able learn much  The children could lean different countries far away  As result computers would improve way learn  The last reason computers helpful convience  Now say world crazy  nt go talk someone wo nt  The computer offer ability confrence people would communication work parttners  With ability talk another work would make us lighter nation  This one many reasons computers conviente  subssiquently computers conviente could book flights  vacations  rentals  much  With click button going nice vacation ,2023,469,30,4.313432835820896,366
5,6,1,"Dear I think that computers have a negative affect on us! How many people have acess to a camputer daily in america.. and how many people go on at least an hour a That means that people cant exercise are wasting many are have the posibility of physical that sound good to you? Think of everything you done when you write a letter. I got up and got all the materials and sit back down. After In done writing have to put all the materials away and then put the letter in the mailbox and walk all the way back. Well this is what I had to do. Now think how you write an email sitdown and move your fingers. Do you see the difference? instead of getting a good walk to your friends house to talk to you just in him/er. Did you know that you can literally but from on your computer. Instead of around with this that can add anything you your computer gives away information they information lead to that and then everthing you have wouldbe gone. All this so you can go online. Believe it or not, you can phisically get hurt for being on the computer, to long. thing is that when you at a computer what happened to my grandpa is that when you are in a wood chair all day you can get ardthritis in your muscle thing th.",6,Dear I think computers negative affect us  How many people acess camputer daily america  many people go least hour That means people cant exercise wasting many posibility physical sound good  Think everything done write letter  I got got materials sit back  After In done writing put materials away put letter mailbox walk way back  Well I  Now think write email sitdown move fingers  Do see difference  instead getting good walk friends house talk himer  Did know literally computer  Instead around add anything computer gives away information information lead everthing wouldbe gone  All go online  Believe  phisically get hurt computer  long  thing computer happened grandpa wood chair day get ardthritis muscle thing th ,956,238,14,4.016806722689076,195
6,7,1,"Did you know that more and more people these days are depending on computers for their safety, natural education, and their social life? In my opinion, the increasing use of computers is not benefiting society. Initially, ones safety while using a computer is at risk. To begin, when someone is talking to another on a computer, they never know who is at the other end of it. For example, a small girl was playing a game on the computer and a person began talking to her, it could be a predator. She will never know unless they meet us somewhere. At this point, it maybe too late. Moreover, studies show that of people's information is more widely exposed in the last years due to the new chat websites. Such as myspace and facebook. In these websites, people share their information. With this, their safety is at risk. Finally, people should stop using computers as much as they are now, in order to keep their safety safe. Furthermore, enjoying nature is a must, in our world full of immense landscapes, wide waters, dense forests, and lush valleys. you depend on your computer to teach you about the world, you should cease this use. One must actually be outside, experiencing the feel, the smell, and even the taste of nature. A recent study shows that people who actually went to the grand canyon could write a page essay on what they had learned. The people who didn't go and simply read information off their computer, could not write this much. Finally, society needs to back away from their computers, and stop into. Thirdly, a person's social life could be ruined from the use of computers for many reasons. One reasons for this could be that a person spends all their time on their computer instead of spending time with their family and friends. Sure, you can chat with people online, but that's nothing like chatting in person. There is no need to talk to a friend or family member online, when you could do it in person. Finally, someone takes an embarrasing picture of you and puts it on their computer, it is there forever. Thus, you can lose friends, whether you're the person in the picture or the addict who put the picture on. With this, you can easily ruin your family/social life by using your computer too often. How would you feel it was your fault that someone's safety is at risk? Wouldn't you rather enjoy nature in person instead of which it on your computer and not get the fall effect? Couldn't you talk to your friends and family in person rather than ignore them to use your computer? There are numerous ways in which the increasing rate of computer use does not benefit society. I encourage you to agree with me that computers can put one safety at risk decrease their education of nature and ruin their social life.",8,Did know people days depending computers safety  natural education  social life  In opinion  increasing use computers benefiting society  Initially  ones safety using computer risk  To begin  someone talking another computer  never know end  For example  small girl playing game computer person began talking  could predator  She never know unless meet us somewhere  At point  maybe late  Moreover  studies show people s information widely exposed last years due new chat websites  Such myspace facebook  In websites  people share information  With  safety risk  Finally  people stop using computers much  order keep safety safe  Furthermore  enjoying nature must  world full immense landscapes  wide waters  dense forests  lush valleys  depend computer teach world  cease use  One must actually outside  experiencing feel  smell  even taste nature  A recent study shows people actually went grand canyon could write page essay learned  The people nt go simply read information computer  could write much  Finally  society needs back away computers  stop  Thirdly  person s social life could ruined use computers many reasons  One reasons could person spends time computer instead spending time family friends  Sure  chat people online  s nothing like chatting person  There need talk friend family member online  could person  Finally  someone takes embarrasing picture puts computer  forever  Thus  lose friends  whether re person picture addict put picture  With  easily ruin familysocial life using computer often  How would feel fault someone s safety risk  Would nt rather enjoy nature person instead computer get fall effect  Could nt talk friends family person rather ignore use computer  There numerous ways increasing rate computer use benefit society  I encourage agree computers put one safety risk decrease education nature ruin social life ,2186,500,30,4.372,404
7,8,1,"of people agree that computers make life less complicated. I also agree with this. Using computers teaches hand-eye coordination, gives people the ability to learn about faraway places and people, and lets people talk online with other people. I think that these are all very important. Why wouldn't you want to have strong hand-eye coordination? I think this a very important skill. Computers help teach hand-eye coordination and they keep it strong. While you're looking at the screen your hand is moving the mouse where you want it to go. Good hand-eye coordination is used for a lot of things; mostly everything. If you play some sports like baseball, hand-eye is one of the most important elements. Why not make that stronger off of the feild? Also, hand-eye can be used to while taking notes. Hand-eye is involved with almost everything you do. you can't have a poor hand-eye coordination or else you won't be able to function properly. out of doctors agree that hand-eye very important for healthy living. I love to travel, but I want to know about the place I'm going to before I get on the phone to go there."" said a science teacher at He feels the way, I'm sure, a lot of people feel. They want to know about the place they are going to and they want it to be current. The computer has plenty information about a lot of different places in the world. Some books don't offer as much information or they need to be updated. Computers are also very good for learning about other cultures and traditions. No one wants to be ignorant right? People want to know what's going on in the world quick and easy. The computer does this. I remember when I was about our phone broke in our house. We couldn't go out and get one right away either. The only way we were able to communicate with our family and friends was by computer. The computer made it easier to e-mail everyone and tell them why we weren't answering our house phone. This happens more often than you think. People need to communicate through computer a lot. At work, if you need to talk to an employee or co-worker and you can't leave your desk, you can just e-mail the information to them. out of employees say that it is much faster and easier to e-mail information as opposed to talking them on the phone or in person. A lot of people agree that computer make life a lot easier. Computers teach hand-eye coordination and they let you communicate with other people. The most critical reason is that computers let people learn about faraway places and people. You can make a difference in the way people feel about computers. Write to your local newspaper. It's now or never!""",8,people agree computers make life less complicated  I also agree  Using computers teaches handeye coordination  gives people ability learn faraway places people  lets people talk online people  I think important  Why would nt want strong handeye coordination  I think important skill  Computers help teach handeye coordination keep strong  While re looking screen hand moving mouse want go  Good handeye coordination used lot things  mostly everything  If play sports like baseball  handeye one important elements  Why make stronger feild  Also  handeye used taking notes  Handeye involved almost everything  ca nt poor handeye coordination else wo nt able function properly  doctors agree handeye important healthy living  I love travel  I want know place I m going I get phone go   said science teacher He feels way  I m sure  lot people feel  They want know place going want current  The computer plenty information lot different places world  Some books nt offer much information need updated  Computers also good learning cultures traditions  No one wants ignorant right  People want know s going world quick easy  The computer  I remember I phone broke house  We could nt go get one right away either  The way able communicate family friends computer  The computer made easier email everyone tell nt answering house phone  This happens often think  People need communicate computer lot  At work  need talk employee coworker ca nt leave desk  email information  employees say much faster easier email information opposed talking phone person  A lot people agree computer make life lot easier  Computers teach handeye coordination let communicate people  The critical reason computers let people learn faraway places people  You make difference way people feel computers  Write local newspaper  It s never  ,2094,499,38,4.196392785571143,395
8,9,1,"Dear reader, has had a dramatic effect on human life. It has changed the way we do almost everything today. The most well know, is the computer. This device has allowed people do buy things online, talk to people online, and also provides entertainment for some people. All good qualities that make everyones lives easier. Imagine you look into your refrigerator and you notice it's almost empty. Someone is using the car and you need to go grocery shopping and the store is too far. What do you do? Well you could go on a computer and look for food online. Ther are many great deals and some companies even deliver for free! The amazing and easy way to buy food without leaving your house. But food isn't all you can purchase. Many products are sold through the computer. Need new toys for kids? Or how about a new hat for your friend? Maybe even more curtains for your room? Well at the easy access of internet on a computer, you can buy all those items and more. The computer has also the way of communication. Let's say someone wants to talk to a friend or relative that lives far away in another country. someone dosen't own a phone or they can't make the call, all these is to be in you on the computer. You can communicate with anyone just by using your email adress. Now friends and families can talk to each other over the ease of the computer. Just type to want to say and ""boom,"" instant, on the chat. Let's face it. No matter what a child or even teenager . But now with a computer all that can change. With just one click you could actually be watching a movie from the comfort of your own home. But what you don't want a movie? No entertainment like listing to musics, watching fun, and probable the most popular playing games. Everyone loves to play a game every once in a while, and with the selection of thousands of online games, these isn't or person who can't fled atleast our game enjoyable. There are even games for educational fun that many kids love. With all the entertainment a computer can produce; who could hate it? All in all the computer is a revolutinizing device that has changes the way we shop, communicate, and find exciting entertainment. To be able to do so much with just a couple clicks; new that I find extravagant. It blows my mind to see and think, ""@CAPS1 we can do this now, I wonder what we can accomplish in the future.",7,Dear reader  dramatic effect human life  It changed way almost everything today  The well know  computer  This device allowed people buy things online  talk people online  also provides entertainment people  All good qualities make everyones lives easier  Imagine look refrigerator notice s almost empty  Someone using car need go grocery shopping store far  What  Well could go computer look food online  Ther many great deals companies even deliver free  The amazing easy way buy food without leaving house  But food nt purchase  Many products sold computer  Need new toys kids  Or new hat friend  Maybe even curtains room  Well easy access internet computer  buy items  The computer also way communication  Let s say someone wants talk friend relative lives far away another country  someone dose nt phone ca nt make call  computer  You communicate anyone using email adress  Now friends families talk ease computer  Just type want say  boom   instant  chat  Let s face  No matter child even teenager  But computer change  With one click could actually watching movie comfort home  But nt want movie  No entertainment like listing musics  watching fun  probable popular playing games  Everyone loves play game every  selection thousands online games  nt person ca nt fled atleast game enjoyable  There even games educational fun many kids love  With entertainment computer produce  could hate  All computer revolutinizing device changes way shop  communicate  find exciting entertainment  To able much couple clicks  new I find extravagant  It blows mind see think    CAPS  I wonder accomplish future ,1862,447,35,4.165548098434004,352
9,10,1,"In the we have the technology of a computer. Some say that the computers are good for the society. I disagree, I believe that it is bad for a few reasons. Some of the reasons are obesity, cramps, more sexual harrassment and even cyber bullying. First if people don't get off the computers and go out to exercise then it will cause obesity. Think of it this way, if you watch a kid that didn't have to go to school his entire life and he started off at pounds. The only thing the kid will want to do is play on the computer and he will gain weight. Next, tip-top-tip-top, that's all you hear when a kid is on the computer, teens come home from school and go straight to the computer and don't get off about on a school night. These are the kids that are likely to get bad cramps. they get the cramps form typing to fast, hard and too long. They also can get the cramps from just sitting down for to long then trying to get up but can't because it hurts to much to decide to move anywhere. There's also a lot more of sexual harassment that is going on some kids goin to a chat room to talk to their friends about some great news, but when they get out of the chat room they are all mad and pissed off. The reason is because someone was making fun of them and they didn't like it. This happens maybe close to of the time that teens and even parents go into chat rooms online. This is the third reason on why computers have an huge effect on people. The last reason that computers have a huge effect on people is because of cyberbullying. cyberbullying is when someone bullies you but just online instead. Have you realized that children became poor or sick because they dont want to be hurt or killed over something very stupid? Well, I have and it's not nice, and now the god thing is if a kid goes to school online he/she get cyberbullied because he's not smart enough or if he/she don't have the money to go to school. The cyberbullying normally occures in a chat room online. There is where all of the family will either become broke with no money or food. They even lose their kid or the house that they live in because someone wanted to act all big and bad to be popular in school. In conclusion, these are only a few ways that computers effects people. The obesity, cramps, sexual harrassment and cyberbullying are not a joke and it's not fun to get done to you. Now it's your turn to tell us what you think about the computers. Do you think computers are good and benefits society or is it bad a rot little kids brains to make their lives horrible for them to live with?",7,In technology computer  Some say computers good society  I disagree  I believe bad reasons  Some reasons obesity  cramps  sexual harrassment even cyber bullying  First people nt get computers go exercise cause obesity  Think way  watch kid nt go school entire life started pounds  The thing kid want play computer gain weight  Next  tiptoptiptop  s hear kid computer  teens come home school go straight computer nt get school night  These kids likely get bad cramps  get cramps form typing fast  hard long  They also get cramps sitting long trying get ca nt hurts much decide move anywhere  There s also lot sexual harassment going kids goin chat room talk friends great news  get chat room mad pissed  The reason someone making fun nt like  This happens maybe close time teens even parents go chat rooms online  This third reason computers huge effect people  The last reason computers huge effect people cyberbullying  cyberbullying someone bullies online instead  Have realized children became poor sick dont want hurt killed something stupid  Well  I s nice  god thing kid goes school online heshe get cyberbullied s smart enough heshe nt money go school  The cyberbullying normally occures chat room online  There family either become broke money food  They even lose kid house live someone wanted act big bad popular school  In conclusion  ways computers effects people  The obesity  cramps  sexual harrassment cyberbullying joke s fun get done  Now s turn tell us think computers  Do think computers good benefits society bad rot little kids brains make lives horrible live ,2024,512,26,3.953125,403
